,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
6,61,21,0.744,—,110.0,101.0,8.57,2017,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2017,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2017,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2017,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2017,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2017,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2017,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2017,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2017,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2017,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2017,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2017,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2017,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2017,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2017,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2017,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2017,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2017,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2017,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2017,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2017,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2018,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2018,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2018,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2018,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2018,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2018,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2018,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2018,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2018,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2018,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2018,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2018,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2018,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2018,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2018,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2018,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2018,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2018,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2018,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2018,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2018,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2018,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2018,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2018,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2018,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2018,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2018,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2019,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2019,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2019,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2019,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2019,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2019,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2019,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2019,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2019,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2019,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2019,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2019,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2019,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2019,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2019,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2019,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2019,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2019,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2019,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2019,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2019,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2019,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2019,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2019,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2019,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2019,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2019,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2020,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2020,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2020,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2020,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2020,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2020,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2020,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2020,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2020,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2020,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2020,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2020,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2020,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2020,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2020,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2020,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2020,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2020,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2020,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2020,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2020,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2020,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2020,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2020,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2020,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2020,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2020,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2021,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2021,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2021,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2021,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2021,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2021,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2021,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2021,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2021,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2021,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2021,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2021,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2021,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2021,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2021,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2021,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2021,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2021,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2021,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2021,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2021,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2021,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2021,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2021,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2021,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2021,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2021,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2022,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2022,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2022,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2022,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2022,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2022,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2022,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2022,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2022,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2022,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2022,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2022,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2022,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2022,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2022,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2022,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2022,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2022,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2022,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2022,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2022,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2022,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2022,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2022,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2022,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2022,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2022,Sacramento Kings
0,56,26,0.683,—,111.5,105.7,5.22,2023,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,2023,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,2023,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,2023,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,2023,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,2023,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,2023,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,2023,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,2023,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,2023,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,2023,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,2023,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,2023,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,2023,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,2023,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,2023,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,2023,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,2023,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,2023,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,2023,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,2023,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,2023,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,2023,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,2023,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,2023,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,2023,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,2023,Sacramento Kings
